нэр	нэрийн	N|GEN;SG	нэр|ийн
нэр	нэрд	N|DAT;SG	нэр|д
нэр	нэрийг	N|ACC;SG	нэр|ийг
нэр	нэрээс	N|ABL;SG	нэр|ээс
нэр	нэрээр	N|INS;SG	нэр|ээр
нэр	нэртэй	N|COM;SG	нэр|тэй
нэр	нэрээ	N|VOC;SG	нэр|ээ
отряд	отрядын	N|GEN;SG	отряд|ын
отряд	отрядод	N|DAT;SG	отряд|д
отряд	отрядыг	N|ACC;SG	отряд|ыг
отряд	отрядоос	N|ABL;SG	отряд|оос
отряд	отрядоор	N|INS;SG	отряд|оор
отряд	отрядтой	N|COM;SG	отряд|той
отряд	отрядоо	N|VOC;SG	отряд|оо
бодис	бодисын	N|GEN;SG	бодис|ын
бодис	бодист	N|DAT;SG	бодис|т
бодис	бодисыг	N|ACC;SG	бодис|ыг
бодис	бодисоос	N|ABL;SG	бодис|оос
бодис	бодисоор	N|INS;SG	бодис|оор
бодис	бодистой	N|COM;SG	бодис|той
бодис	бодисоо	N|VOC;SG	бодис|оо
далай	далайн	N|GEN;SG	далай|н
далай	далайд	N|DAT;SG	далай|д
далай	далайг	N|ACC;SG	далай|г
далай	далайнаас	N|ABL;SG	далай|аас
далай	далайгаар	N|INS;SG	далай|аар
далай	далайтай	N|COM;SG	далай|тай
далай	далайгаа	N|VOC;SG	далай|аа
дуу	дууны	N|GEN;SG	дуу|ы
дуу	дуунд	N|DAT;SG	дуу|д
дуу	дууг	N|ACC;SG	дуу|г
дуу	дуунаас	N|ABL;SG	дуу|аас
дуу	дуугаар	N|INS;SG	дуу|аар
дуу	дуутай	N|COM;SG	дуу|тай
дуу	дуугаа	N|VOC;SG	дуу|аа
амь	амины	N|GEN;SG	амь|ы
амь	аминд	N|DAT;SG	амь|д
амь	амийг	N|ACC;SG	амь|ийг
амь	аминаас	N|ABL;SG	амь|аас
амь	амиар	N|INS;SG	амь|ар
амь	амьтай	N|COM;SG	амь|тай
амь	амиа	N|VOC;SG	амь|а
хүүхэд	хүүхдийн	N|GEN;SG	хүүхэд|ийн
хүүхэд	хүүхдэд	N|DAT;SG	хүүхэд|д
хүүхэд	хүүхдийг	N|ACC;SG	хүүхэд|ийг
хүүхэд	хүүхдээс	N|ABL;SG	хүүхэд|ээс
хүүхэд	хүүхдээр	N|INS;SG	хүүхэд|ээр
хүүхэд	хүүхэдтэй	N|COM;SG	хүүхэд|тэй
хүүхэд	хүүхдээ	N|VOC;SG	хүүхэд|ээ
хэмжээ	хэмжээний	N|GEN;SG	хэмжээ|ий
хэмжээ	хэмжээнд	N|DAT;SG	хэмжээ|д
хэмжээ	хэмжээг	N|ACC;SG	хэмжээ|г
хэмжээ	хэмжээнээс	N|ABL;SG	хэмжээ|ээс
хэмжээ	хэмжээгээр	N|INS;SG	хэмжээ|ээр
хэмжээ	хэмжээтэй	N|COM;SG	хэмжээ|тэй
хэмжээ	хэмжээгээ	N|VOC;SG	хэмжээ|ээ
багтаамж	багтаамжийн	N|GEN;SG	багтаамж|ийн
багтаамж	багтаамжид	N|DAT;SG	багтаамж|д
багтаамж	багтаамжийг	N|ACC;SG	багтаамж|ийг
багтаамж	багтаамжаас	N|ABL;SG	багтаамж|аас
багтаамж	багтаамжаар	N|INS;SG	багтаамж|аар
багтаамж	багтаамжтай	N|COM;SG	багтаамж|тай
багтаамж	багтаамжаа	N|VOC;SG	багтаамж|аа
эс	эсийн	N|GEN;SG	эс|ийн
эс	эсэд	N|DAT;SG	эс|д
эс	эсийг	N|ACC;SG	эс|ийг
эс	эсээс	N|ABL;SG	эс|ээс
эс	эсээр	N|INS;SG	эс|ээр
эс	эстэй	N|COM;SG	эс|тэй
эс	эсээ	N|VOC;SG	эс|ээ
хүн	хүний	N|GEN;SG	хүн|ий
хүн	хүнд	N|DAT;SG	хүн|д
хүн	хүнийг	N|ACC;SG	хүн|ийг
хүн	хүнээс	N|ABL;SG	хүн|ээс
хүн	хүнээр	N|INS;SG	хүн|ээр
хүн	хүнтэй	N|COM;SG	хүн|тэй
хүн	хүнээ	N|VOC;SG	хүн|ээ
ургамал	ургамлын	N|GEN;SG	ургамал|ын
ургамал	ургамалд	N|DAT;SG	ургамал|д
ургамал	ургамлыг	N|ACC;SG	ургамал|ыг
ургамал	ургамлаас	N|ABL;SG	ургамал|аас
ургамал	ургамлаар	N|INS;SG	ургамал|аар
ургамал	ургамалтай	N|COM;SG	ургамал|тай
ургамал	ургамлаа	N|VOC;SG	ургамал|аа
хуулбар	хуулбарын	N|GEN;SG	хуулбар|ын
хуулбар	хуулбарт	N|DAT;SG	хуулбар|т
хуулбар	хуулбарыг	N|ACC;SG	хуулбар|ыг
хуулбар	хуулбараас	N|ABL;SG	хуулбар|аас
хуулбар	хуулбараар	N|INS;SG	хуулбар|аар
хуулбар	хуулбартай	N|COM;SG	хуулбар|тай
хуулбар	хуулбараа	N|VOC;SG	хуулбар|аа
сүйтгэгч	сүйтгэгчийн	N|GEN;SG	сүйтгэгч|ийн
сүйтгэгч	сүйтгэгчид	N|DAT;SG	сүйтгэгч|д
сүйтгэгч	сүйтгэгчийг	N|ACC;SG	сүйтгэгч|ийг
сүйтгэгч	сүйтгэгчээс	N|ABL;SG	сүйтгэгч|ээс
сүйтгэгч	сүйтгэгчээр	N|INS;SG	сүйтгэгч|ээр
сүйтгэгч	сүйтгэгчтэй	N|COM;SG	сүйтгэгч|тэй
сүйтгэгч	сүйтгэгчээ	N|VOC;SG	сүйтгэгч|ээ
мөрдөгч	мөрдөгчийн	N|GEN;SG	мөрдөгч|ийн
мөрдөгч	мөрдөгчид	N|DAT;SG	мөрдөгч|д
мөрдөгч	мөрдөгчийг	N|ACC;SG	мөрдөгч|ийг
мөрдөгч	мөрдөгчөөс	N|ABL;SG	мөрдөгч|өөс
мөрдөгч	мөрдөгчөөр	N|INS;SG	мөрдөгч|өөр
мөрдөгч	мөрдөгчтэй	N|COM;SG	мөрдөгч|тэй
мөрдөгч	мөрдөгчөө	N|VOC;SG	мөрдөгч|өө
төр	төрийн	N|GEN;SG	төр|ийн
төр	төрд	N|DAT;SG	төр|д
төр	төрийг	N|ACC;SG	төр|ийг
төр	төрөөс	N|ABL;SG	төр|өөс
төр	төрөөр	N|INS;SG	төр|өөр
төр	төртэй	N|COM;SG	төр|тэй
төр	төрөө	N|VOC;SG	төр|өө
мэдрэмж	мэдрэмжийн	N|GEN;SG	мэдрэмж|ийн
мэдрэмж	мэдрэмжид	N|DAT;SG	мэдрэмж|д
мэдрэмж	мэдрэмжийг	N|ACC;SG	мэдрэмж|ийг
мэдрэмж	мэдрэмжээс	N|ABL;SG	мэдрэмж|ээс
мэдрэмж	мэдрэмжээр	N|INS;SG	мэдрэмж|ээр
мэдрэмж	мэдрэмжтэй	N|COM;SG	мэдрэмж|тэй
мэдрэмж	мэдрэмжээ	N|VOC;SG	мэдрэмж|ээ
дүрс	дүрсний	N|GEN;SG	дүрс|ий
дүрс	дүрсэнд	N|DAT;SG	дүрс|д
дүрс	дүрсийг	N|ACC;SG	дүрс|ийг
дүрс	дүрсээс	N|ABL;SG	дүрс|ээс
дүрс	дүрсээр	N|INS;SG	дүрс|ээр
дүрс	дүрстэй	N|COM;SG	дүрс|тэй
дүрс	дүрсээ	N|VOC;SG	дүрс|ээ
хэлбэр	хэлбэрийн	N|GEN;SG	хэлбэр|ийн
